Severity,Start_Time,Weather_Condition,Visibility(mi),Precipitation(in),Sunrise_Sunset,Start_Lat,Start_Lng,State
3,2022-01-04 13:00:00,Cloudy,1.71,1.97,Night,43.719452,-108.600403,MI
2,2022-01-04 14:00:00,Thunderstorm,5.68,1.05,Night,44.933603,-123.673615,CA
1,2022-01-04 15:00:00,Thunderstorm,8.65,0.36,Day,31.441491,-71.414047,FL
4,2022-01-04 16:00:00,Rain,6.94,0.04,Night,41.487078,-80.590455,GA
2,2022-01-04 17:00:00,Cloudy,3.31,0.71,Day,28.237737,-97.105763,GA
4,2022-01-04 18:00:00,Thunderstorm,5.84,1.84,Day,37.257552,-69.367312,OH
4,2022-01-04 19:00:00,Cloudy,7.29,1.99,Day,39.709286,-107.6816,TX
2,2022-01-04 20:00:00,Fog,7.42,1.89,Night,28.881566,-85.192402,FL
2,2022-01-04 21:00:00,Rain,6.83,1.46,Day,26.836157,-106.996128,OH
2,2022-01-04 22:00:00,Thunderstorm,8.77,1.12,Night,29.673911,-106.440227,GA
2,2022-01-04 23:00:00,Fog,8.77,1.18,Day,35.09413,-75.162159,NC
2,2022-01-05 00:00:00,Clear,6.0,1.08,Night,46.308183,-78.565705,IL
4,2022-01-05 01:00:00,Clear,4.58,1.41,Night,37.765946,-107.647662,MI
2,2022-01-05 02:00:00,Rain,6.59,0.84,Night,42.963829,-120.198019,FL
1,2022-01-05 03:00:00,Thunderstorm,8.27,1.34,Night,29.179469,-103.902536,NC
3,2022-01-05 04:00:00,Thunderstorm,0.55,0.24,Day,27.543477,-80.156605,PA
2,2022-01-05 05:00:00,Thunderstorm,9.92,0.53,Day,30.750817,-119.067883,NY
2,2022-01-05 06:00:00,Cloudy,2.24,1.67,Day,32.53313,-85.346049,NC
4,2022-01-05 07:00:00,Fog,4.97,1.81,Day,38.154448,-72.503968,MI
2,2022-01-05 08:00:00,Thunderstorm,8.78,1.08,Night,46.14984,-114.425598,TX
2,2022-01-05 09:00:00,Fog,2.64,0.06,Day,35.226223,-74.129945,MI
2,2022-01-05 10:00:00,Rain,5.03,1.85,Night,37.451157,-121.969531,NY
4,2022-01-05 11:00:00,Thunderstorm,1.76,1.4,Night,25.110725,-85.654065,IL
2,2022-01-05 12:00:00,Rain,4.25,0.83,Day,25.79949,-78.328704,IL
3,2022-01-05 13:00:00,Thunderstorm,2.18,1.2,Day,27.010461,-98.758799,MI
4,2022-01-05 14:00:00,Clear,3.95,0.86,Day,41.775858,-112.980007,PA
3,2022-01-05 15:00:00,Snow,4.05,0.93,Day,36.668593,-70.44096,MI
4,2022-01-05 16:00:00,Rain,9.94,1.77,Day,29.631069,-123.821837,OH
2,2022-01-05 17:00:00,Thunderstorm,9.95,0.32,Night,39.222387,-92.250797,PA
3,2022-01-05 18:00:00,Snow,1.59,0.21,Day,38.070692,-103.001885,IL
4,2022-01-05 19:00:00,Rain,7.4,0.01,Day,27.131183,-97.797625,CA
1,2022-01-05 20:00:00,Cloudy,0.99,0.63,Day,40.369907,-93.342662,GA
2,2022-01-05 21:00:00,Thunderstorm,0.79,0.29,Night,43.411717,-93.449831,PA
4,2022-01-05 22:00:00,Cloudy,1.5,0.44,Day,31.877306,-112.986204,PA
1,2022-01-05 23:00:00,Clear,9.67,0.02,Night,41.499733,-84.897563,MI
4,2022-01-06 00:00:00,Thunderstorm,9.44,0.45,Night,29.793268,-123.870251,IL
1,2022-01-06 01:00:00,Clear,2.34,0.67,Night,43.161492,-123.750138,IL
2,2022-01-06 02:00:00,Snow,2.04,0.06,Day,46.88258,-96.769247,GA
3,2022-01-06 03:00:00,Rain,2.79,1.22,Night,35.604811,-93.02773,NY
1,2022-01-06 04:00:00,Fog,5.4,1.14,Night,30.87093,-108.781521,NY
4,2022-01-06 05:00:00,Clear,5.91,0.19,Night,34.580241,-92.451144,FL
2,2022-01-06 06:00:00,Fog,2.61,1.19,Day,31.001859,-94.549555,NC
1,2022-01-06 07:00:00,Fog,7.69,2.0,Night,25.029745,-104.395987,GA
4,2022-01-06 08:00:00,Rain,3.44,1.89,Day,40.610959,-86.545296,PA
4,2022-01-06 09:00:00,Snow,9.26,0.01,Night,26.020639,-68.481704,GA
4,2022-01-06 10:00:00,Rain,6.74,1.59,Night,30.049378,-96.042641,IL
1,2022-01-06 11:00:00,Thunderstorm,4.65,0.71,Day,42.338789,-78.623005,PA
1,2022-01-06 12:00:00,Clear,8.0,0.13,Night,40.9774,-110.391803,NC
1,2022-01-06 13:00:00,Fog,8.27,0.59,Night,26.759894,-80.044915,NC
3,2022-01-06 14:00:00,Rain,3.26,0.64,Night,40.841314,-86.714549,GA
1,2022-01-06 15:00:00,Rain,3.73,1.05,Day,47.333797,-87.257831,MI
1,2022-01-06 16:00:00,Rain,9.39,1.32,Day,26.788059,-72.310915,FL
1,2022-01-06 17:00:00,Clear,2.07,1.5,Day,34.976517,-111.232335,NC
3,2022-01-06 18:00:00,Snow,0.9,0.49,Night,42.506413,-103.261443,IL
1,2022-01-06 19:00:00,Rain,4.81,0.64,Night,41.025352,-120.09902,NC
4,2022-01-06 20:00:00,Clear,8.11,0.62,Night,30.436253,-82.158921,CA
1,2022-01-06 21:00:00,Fog,7.83,0.73,Day,28.913615,-75.21183,CA
4,2022-01-06 22:00:00,Thunderstorm,9.24,2.0,Day,43.821928,-101.055823,IL
4,2022-01-06 23:00:00,Cloudy,5.57,1.56,Day,47.949872,-103.947218,NY
4,2022-01-07 00:00:00,Clear,1.45,1.95,Night,43.422003,-86.139541,PA
3,2022-01-07 01:00:00,Cloudy,6.09,1.39,Day,48.116908,-120.540163,PA
3,2022-01-07 02:00:00,Rain,7.89,0.81,Day,39.51989,-107.663328,FL
3,2022-01-07 03:00:00,Rain,1.39,0.78,Night,47.298373,-103.393445,NC
1,2022-01-07 04:00:00,Clear,2.14,0.98,Day,41.570457,-94.403173,CA
4,2022-01-07 05:00:00,Cloudy,0.62,0.83,Night,46.813234,-96.882416,IL
3,2022-01-07 06:00:00,Rain,6.14,1.66,Night,28.878135,-112.687855,TX
3,2022-01-07 07:00:00,Fog,8.92,0.93,Day,44.573565,-93.093515,TX
1,2022-01-07 08:00:00,Snow,6.87,0.59,Day,29.721899,-70.373747,NC
3,2022-01-07 09:00:00,Snow,9.83,1.55,Night,25.658298,-123.401814,MI
1,2022-01-07 10:00:00,Rain,1.1,1.71,Day,37.422067,-84.861912,TX
2,2022-01-07 11:00:00,Cloudy,9.08,0.84,Night,32.638043,-88.142167,NC
3,2022-01-07 12:00:00,Thunderstorm,8.23,1.34,Day,26.044753,-70.45881,GA
2,2022-01-07 13:00:00,Rain,3.49,0.12,Day,48.527305,-86.924649,OH
1,2022-01-07 14:00:00,Thunderstorm,9.75,1.06,Night,40.995186,-88.13428,GA
4,2022-01-07 15:00:00,Thunderstorm,3.24,0.09,Night,46.643492,-79.581466,NC
3,2022-01-07 16:00:00,Cloudy,8.95,0.06,Day,48.977982,-109.199449,MI
1,2022-01-07 17:00:00,Thunderstorm,8.87,1.23,Day,34.407202,-89.851797,NC
4,2022-01-07 18:00:00,Fog,7.7,0.61,Night,31.113689,-94.354155,FL
4,2022-01-07 19:00:00,Cloudy,5.85,1.49,Day,29.413225,-99.130122,MI
2,2022-01-07 20:00:00,Rain,1.64,1.79,Day,37.364491,-120.310257,CA
1,2022-01-07 21:00:00,Fog,5.55,0.28,Day,39.545939,-107.734897,GA
4,2022-01-07 22:00:00,Clear,3.89,1.45,Night,36.338146,-108.481079,MI
3,2022-01-07 23:00:00,Snow,8.03,1.03,Day,34.294048,-82.269194,NY
3,2022-01-08 00:00:00,Rain,7.7,0.22,Day,29.038542,-70.681288,PA
2,2022-01-08 01:00:00,Rain,9.15,1.3,Day,35.604631,-111.383554,IL
4,2022-01-08 02:00:00,Rain,0.64,1.22,Night,27.045835,-120.597188,IL
1,2022-01-08 03:00:00,Fog,8.19,1.03,Night,45.761146,-66.00254,OH
3,2022-01-08 04:00:00,Clear,9.42,1.85,Day,26.125664,-84.218886,MI
4,2022-01-08 05:00:00,Cloudy,8.0,1.04,Night,34.135505,-72.69822,FL
4,2022-01-08 06:00:00,Clear,1.74,1.98,Night,27.403309,-116.511114,TX
2,2022-01-08 07:00:00,Fog,1.27,1.02,Day,43.599532,-77.754686,NC
3,2022-01-08 08:00:00,Rain,0.7,0.23,Day,32.505687,-77.013899,TX
3,2022-01-08 09:00:00,Snow,6.47,0.94,Night,27.714535,-116.062153,NC
1,2022-01-08 10:00:00,Rain,6.48,0.36,Day,37.755791,-115.477153,MI
3,2022-01-08 11:00:00,Cloudy,9.88,1.19,Day,46.990648,-107.568378,NY
1,2022-01-08 12:00:00,Thunderstorm,4.28,1.39,Day,46.807477,-112.209541,CA
3,2022-01-08 13:00:00,Snow,3.65,0.94,Day,30.991625,-67.450815,FL
2,2022-01-08 14:00:00,Rain,6.43,0.2,Night,42.271832,-103.586314,MI
3,2022-01-08 15:00:00,Snow,8.34,0.94,Night,25.726821,-80.082922,TX
1,2022-01-08 16:00:00,Thunderstorm,9.4,0.16,Day,28.164443,-77.502003,NY
1,2022-01-08 17:00:00,Clear,8.13,1.36,Day,36.987337,-102.229488,TX
2,2022-01-08 18:00:00,Fog,4.55,1.58,Night,30.490154,-84.727452,MI
3,2022-01-08 19:00:00,Rain,6.53,1.92,Day,44.158284,-118.639792,IL
3,2022-01-08 20:00:00,Cloudy,8.63,0.3,Day,47.345732,-101.579239,MI
2,2022-01-08 21:00:00,Clear,5.16,1.06,Day,25.104,-67.928671,CA
3,2022-01-08 22:00:00,Rain,2.56,1.14,Night,30.58998,-115.056691,PA
3,2022-01-08 23:00:00,Clear,2.11,1.84,Day,35.54928,-102.243033,NC
1,2022-01-09 00:00:00,Cloudy,0.5,1.25,Day,38.513903,-78.359231,CA
3,2022-01-09 01:00:00,Rain,7.32,0.29,Day,46.981667,-85.740028,NY
3,2022-01-09 02:00:00,Thunderstorm,1.56,0.87,Day,46.405204,-87.740403,TX
2,2022-01-09 03:00:00,Thunderstorm,2.82,1.31,Day,40.292082,-74.65781,TX
2,2022-01-09 04:00:00,Cloudy,3.33,1.4,Night,31.177312,-123.283463,PA
4,2022-01-09 05:00:00,Snow,5.82,1.73,Day,43.798907,-79.501302,TX
1,2022-01-09 06:00:00,Cloudy,4.28,0.36,Night,29.863643,-72.929607,PA
3,2022-01-09 07:00:00,Snow,6.91,1.9,Night,48.164136,-124.045706,CA
3,2022-01-09 08:00:00,Rain,1.03,0.12,Day,25.140158,-92.021186,PA
4,2022-01-09 09:00:00,Snow,1.68,1.97,Day,38.674492,-104.433279,FL
3,2022-01-09 10:00:00,Rain,5.24,1.72,Day,27.121534,-122.005,TX
1,2022-01-09 11:00:00,Rain,3.7,1.32,Day,34.782389,-100.352861,NY
4,2022-01-09 12:00:00,Fog,3.31,1.47,Day,40.238405,-87.002222,CA
1,2022-01-09 13:00:00,Rain,1.14,0.15,Day,41.550364,-70.778196,FL
4,2022-01-09 14:00:00,Snow,9.01,0.08,Day,43.853667,-88.388701,CA
4,2022-01-09 15:00:00,Fog,7.07,0.2,Day,39.239865,-74.452158,GA
2,2022-01-09 16:00:00,Fog,1.66,0.17,Day,31.031664,-117.827281,PA
1,2022-01-09 17:00:00,Rain,1.12,1.09,Day,46.342078,-112.579251,CA
3,2022-01-09 18:00:00,Cloudy,9.76,0.43,Night,44.466578,-67.752721,TX
3,2022-01-09 19:00:00,Cloudy,6.97,1.72,Day,28.841256,-72.643359,NC
1,2022-01-09 20:00:00,Thunderstorm,4.47,0.89,Day,44.836268,-111.12161,OH
3,2022-01-09 21:00:00,Fog,7.17,1.39,Day,48.343468,-88.362541,FL
3,2022-01-09 22:00:00,Rain,7.69,1.31,Night,40.293259,-103.604667,CA
1,2022-01-09 23:00:00,Cloudy,7.91,0.64,Night,31.763325,-97.352688,TX
4,2022-01-10 00:00:00,Rain,5.04,0.49,Night,39.558252,-74.208189,OH
1,2022-01-10 01:00:00,Rain,4.58,0.68,Day,33.220842,-81.592956,GA
4,2022-01-10 02:00:00,Fog,0.6,1.59,Night,41.222715,-110.931889,PA
3,2022-01-10 03:00:00,Thunderstorm,9.3,1.17,Day,38.075199,-106.356409,NY
3,2022-01-10 04:00:00,Fog,6.23,0.51,Day,47.307775,-107.907083,MI
3,2022-01-10 05:00:00,Clear,2.43,1.64,Night,39.829805,-78.940896,NY
2,2022-01-10 06:00:00,Cloudy,9.24,0.11,Day,30.13556,-96.084783,PA
4,2022-01-10 07:00:00,Cloudy,9.19,1.4,Night,42.402637,-68.907266,OH
2,2022-01-10 08:00:00,Cloudy,9.9,0.88,Night,32.22108,-76.815457,OH
2,2022-01-10 09:00:00,Snow,8.8,1.46,Night,31.537383,-112.539529,NY
1,2022-01-10 10:00:00,Rain,9.98,1.85,Day,34.402639,-78.629375,CA
2,2022-01-10 11:00:00,Fog,2.82,1.5,Day,25.28792,-95.141319,PA
1,2022-01-10 12:00:00,Cloudy,8.5,0.88,Day,48.259376,-110.031103,OH
1,2022-01-10 13:00:00,Clear,8.32,0.3,Day,37.775947,-103.563427,NY
2,2022-01-10 14:00:00,Cloudy,2.69,1.61,Night,43.563853,-67.644559,OH
4,2022-01-10 15:00:00,Thunderstorm,1.44,0.92,Day,31.188453,-96.446275,GA
4,2022-01-10 16:00:00,Rain,9.8,0.15,Night,42.918835,-82.543255,TX
4,2022-01-10 17:00:00,Rain,3.31,1.44,Day,38.612092,-96.851968,TX
4,2022-01-10 18:00:00,Fog,8.77,0.58,Night,35.17946,-103.078121,PA
4,2022-01-10 19:00:00,Snow,0.54,0.1,Night,48.296061,-78.011219,FL
2,2022-01-10 20:00:00,Fog,0.7,1.81,Day,36.852249,-74.948863,NY
2,2022-01-10 21:00:00,Cloudy,4.93,0.97,Night,40.779006,-120.758539,CA
3,2022-01-10 22:00:00,Thunderstorm,2.77,0.56,Day,25.368213,-108.540322,NY
4,2022-01-10 23:00:00,Clear,7.05,1.43,Day,32.234925,-95.035608,NY
2,2022-01-11 00:00:00,Fog,5.87,1.77,Night,46.328598,-106.326633,NY
3,2022-01-11 01:00:00,Snow,1.24,0.0,Day,43.215017,-78.768603,FL
4,2022-01-11 02:00:00,Fog,2.04,1.38,Night,37.882097,-118.230732,TX
1,2022-01-11 03:00:00,Rain,4.19,1.53,Day,46.603833,-77.929901,NY
3,2022-01-11 04:00:00,Cloudy,2.26,0.42,Night,36.669292,-88.544701,GA
2,2022-01-11 05:00:00,Cloudy,8.03,0.98,Night,38.59617,-107.927305,FL
1,2022-01-11 06:00:00,Cloudy,4.45,0.18,Day,34.171668,-104.677173,IL
1,2022-01-11 07:00:00,Cloudy,1.39,1.49,Day,39.880961,-114.20895,TX
1,2022-01-11 08:00:00,Cloudy,5.1,1.69,Night,32.656037,-110.098169,CA
3,2022-01-11 09:00:00,Cloudy,1.36,0.22,Day,34.251812,-82.681137,OH
2,2022-01-11 10:00:00,Clear,1.72,1.63,Night,48.19183,-102.822836,IL
1,2022-01-11 11:00:00,Snow,2.78,1.54,Day,27.671408,-84.438436,MI
4,2022-01-11 12:00:00,Cloudy,8.67,0.69,Night,27.526128,-94.667655,NY
1,2022-01-11 13:00:00,Snow,9.28,1.38,Day,26.039584,-116.427433,OH
1,2022-01-11 14:00:00,Thunderstorm,8.35,0.0,Night,32.681068,-95.554832,IL
3,2022-01-11 15:00:00,Cloudy,3.67,1.86,Day,34.557502,-80.368279,TX
3,2022-01-11 16:00:00,Fog,3.09,1.1,Day,27.268375,-107.437145,NY
2,2022-01-11 17:00:00,Cloudy,5.72,1.24,Night,38.179144,-86.763182,NC
4,2022-01-11 18:00:00,Rain,7.36,1.33,Night,38.999237,-113.257073,GA
3,2022-01-11 19:00:00,Clear,9.94,1.12,Night,43.024641,-116.993761,IL
1,2022-01-11 20:00:00,Fog,1.75,1.71,Night,48.423235,-103.746658,CA
2,2022-01-11 21:00:00,Fog,0.97,1.22,Night,39.864454,-102.036988,OH
1,2022-01-11 22:00:00,Rain,7.1,1.82,Night,27.679619,-80.100432,CA
1,2022-01-11 23:00:00,Cloudy,8.41,1.16,Day,27.124582,-97.855354,GA
3,2022-01-12 00:00:00,Clear,8.54,0.34,Day,43.661125,-120.207141,FL
2,2022-01-12 01:00:00,Fog,6.95,1.83,Night,40.608019,-87.59403,NC
4,2022-01-12 02:00:00,Clear,9.56,1.36,Day,28.885945,-97.314058,PA
4,2022-01-12 03:00:00,Fog,5.35,1.4,Night,31.080639,-105.433051,IL
3,2022-01-12 04:00:00,Cloudy,9.18,1.97,Day,43.005769,-77.66909,NY
3,2022-01-12 05:00:00,Thunderstorm,9.69,0.15,Night,38.587739,-115.891297,IL
2,2022-01-12 06:00:00,Fog,8.55,0.86,Night,39.040002,-71.120472,NC
4,2022-01-12 07:00:00,Thunderstorm,3.44,0.48,Day,30.040208,-105.290372,OH
4,2022-01-12 08:00:00,Fog,2.36,1.26,Night,40.097392,-97.804455,TX
4,2022-01-12 09:00:00,Snow,5.71,1.61,Day,43.495086,-70.175253,IL
1,2022-01-12 10:00:00,Cloudy,4.8,1.93,Day,46.246053,-80.08685,NC
4,2022-01-12 11:00:00,Rain,8.84,0.91,Day,42.681216,-120.616156,GA
1,2022-01-12 12:00:00,Thunderstorm,1.45,1.57,Day,38.833016,-90.880485,CA
2,2022-01-12 13:00:00,Rain,2.95,1.83,Day,41.158223,-106.688591,PA
1,2022-01-12 14:00:00,Cloudy,7.64,1.37,Day,36.642675,-94.999193,IL
2,2022-01-12 15:00:00,Rain,1.4,0.49,Day,30.445558,-81.164827,NC
4,2022-01-12 16:00:00,Cloudy,3.55,1.22,Day,46.172967,-95.725798,NY
4,2022-01-12 17:00:00,Rain,4.18,1.94,Day,37.782943,-120.809709,CA
2,2022-01-12 18:00:00,Thunderstorm,6.41,1.98,Day,39.263639,-93.731149,IL
3,2022-01-12 19:00:00,Snow,2.0,1.28,Night,48.762614,-123.57635,NC
2,2022-01-12 20:00:00,Rain,8.68,1.77,Day,48.640376,-104.443848,IL
3,2022-01-12 21:00:00,Thunderstorm,4.75,0.4,Day,39.071464,-96.796199,OH
1,2022-01-12 22:00:00,Fog,9.21,0.49,Night,25.814974,-86.96426,MI
1,2022-01-12 23:00:00,Cloudy,4.94,1.91,Night,34.507541,-95.1338,NY
1,2022-01-13 00:00:00,Clear,3.11,0.27,Night,47.495039,-116.035138,TX
4,2022-01-13 01:00:00,Clear,1.85,0.38,Night,31.919358,-69.999164,FL
1,2022-01-13 02:00:00,Cloudy,0.54,0.84,Day,48.982448,-86.632319,CA
3,2022-01-13 03:00:00,Snow,5.56,1.18,Day,27.023621,-106.298901,TX
1,2022-01-13 04:00:00,Rain,1.52,1.21,Day,38.63474,-68.009558,OH
2,2022-01-13 05:00:00,Snow,4.22,0.58,Night,37.370785,-72.927921,NC
2,2022-01-13 06:00:00,Clear,6.1,1.84,Night,31.12847,-116.534085,NC
4,2022-01-13 07:00:00,Thunderstorm,3.12,1.83,Day,47.766571,-86.329683,NC
2,2022-01-13 08:00:00,Cloudy,2.16,0.78,Night,39.860109,-91.955902,CA
3,2022-01-13 09:00:00,Cloudy,7.86,0.87,Day,30.525479,-113.624274,OH
1,2022-01-13 10:00:00,Snow,9.49,1.4,Night,34.217157,-111.224967,OH
4,2022-01-13 11:00:00,Thunderstorm,1.45,1.33,Night,42.309506,-91.737347,NC
1,2022-01-13 12:00:00,Snow,1.98,0.76,Day,32.144721,-106.043991,NC
1,2022-01-13 13:00:00,Rain,9.62,0.83,Day,46.110549,-75.744946,CA
3,2022-01-13 14:00:00,Fog,0.86,0.7,Day,28.976174,-119.233385,MI
2,2022-01-13 15:00:00,Thunderstorm,9.79,0.47,Night,31.348122,-71.072184,PA
2,2022-01-13 16:00:00,Fog,0.54,0.92,Night,28.477567,-75.4074,TX
1,2022-01-13 17:00:00,Rain,8.8,1.37,Day,27.500292,-81.421214,IL
4,2022-01-13 18:00:00,Fog,3.42,1.48,Day,32.20757,-109.508532,TX
2,2022-01-13 19:00:00,Clear,9.42,1.56,Day,48.98029,-82.817486,IL
